City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Peterhead,57.51,-1.8,45.0,93,75,9.17,GB,2020-04-27 02:59:17
70,Ponta Do Sol,32.67,-17.1,60.8,82,20,3.36,PT,2020-04-27 02:59:17
71,Severo-Kurilsk,50.68,156.12,34.14,92,100,6.31,RU,2020-04-27 02:59:18
72,North Bend,43.41,-124.22,55.0,62,1,9.17,US,2020-04-27 02:55:44
73,Warri,5.52,5.75,78.78,88,100,4.36,NG,2020-04-27 02:59:18
74,Kenai,60.55,-151.26,51.8,29,1,9.17,US,2020-04-27 02:59:18
75,Pangnirtung,66.15,-65.71,19.38,94,100,5.28,CA,2020-04-27 02:59:18
76,Turbat,26.0,63.04,83.14,44,27,3.44,PK,2020-04-27 02:59:19
77,Saldanha,-33.01,17.94,62.6,77,29,13.87,ZA,2020-04-27 02:59:19
78,Punta Arenas,-53.15,-70.92,32.0,74,15,4.7,CL,2020-04-27 02:58:18
79,Bria,6.54,21.99,72.34,70,100,3.67,CF,2020-04-27 02:59:19
80,Salalah,17.02,54.09,82.4,83,20,3.36,OM,2020-04-27 02:59:20
81,Otane,-39.88,176.63,66.0,60,45,15.99,NZ,2020-04-27 02:59:20
82,Ostrovnoy,68.05,39.51,30.07,96,93,8.7,RU,2020-04-27 02:59:20
83,Sitka,57.05,-135.33,48.2,61,90,20.8,US,2020-04-27 02:59:20
84,Hilo,19.73,-155.09,80.6,57,40,10.29,US,2020-04-27 02:59:21
85,Kirakira,-10.45,161.92,85.82,64,65,5.44,SB,2020-04-27 02:59:21
86,Dingle,11.0,122.67,88.84,59,100,14.25,PH,2020-04-27 02:59:21
87,Nuevo Ideal,24.89,-105.07,60.22,36,76,5.59,MX,2020-04-27 02:59:21
88,Avarua,-21.21,-159.78,82.4,74,55,8.05,CK,2020-04-27 02:59:22
89,Kumluca,36.37,30.29,58.32,65,100,2.28,TR,2020-04-27 02:59:22
90,Greece,43.21,-77.69,44.01,81,90,5.82,US,2020-04-27 02:59:22
91,Jiwani,25.05,61.74,79.79,87,12,8.37,PK,2020-04-27 02:59:23
92,Lokosovo,61.13,74.82,51.12,59,75,13.4,RU,2020-04-27 02:59:23
93,Bodden Town,19.28,-81.25,82.0,76,27,3.0,KY,2020-04-27 02:59:23
94,Vardo,70.37,31.11,30.2,80,75,14.99,NO,2020-04-27 02:59:23
95,Tuktoyaktuk,69.45,-133.04,19.4,79,90,8.05,CA,2020-04-27 02:59:23
96,Hermanus,-34.42,19.23,63.0,77,98,13.0,ZA,2020-04-27 02:59:24
97,Slavonski Brod,45.16,18.02,43.0,82,21,2.01,HR,2020-04-27 02:59:24
98,Chuy,-33.7,-53.46,63.95,74,46,13.96,UY,2020-04-27 02:59:24
99,Tasiilaq,65.61,-37.64,32.0,96,100,20.8,GL,2020-04-27 02:59:24
100,Hirara,24.8,125.28,75.2,73,75,13.87,JP,2020-04-27 02:59:25
101,Coahuayana,18.73,-103.68,75.15,56,0,2.17,MX,2020-04-27 02:59:25
102,Hithadhoo,-0.6,73.08,84.76,76,23,10.69,MV,2020-04-27 02:59:25
103,Aklavik,68.22,-135.01,30.2,36,75,5.82,CA,2020-04-27 02:58:03
104,Butaritari,3.07,172.79,83.03,80,66,19.51,KI,2020-04-27 02:59:26
105,Gap,44.67,6.0,50.0,87,74,0.72,FR,2020-04-27 02:59:26
106,Tiksi,71.69,128.87,22.64,94,50,18.34,RU,2020-04-27 02:59:26
107,Zaozerne,45.16,33.28,49.05,70,22,7.2,UA,2020-04-27 02:57:51
108,Port Hardy,50.7,-127.42,46.4,93,90,12.75,CA,2020-04-27 02:59:27
109,Kindu,-2.95,25.95,69.91,85,90,2.08,CD,2020-04-27 02:59:27
110,Flinders,-34.58,150.86,73.99,64,0,3.0,AU,2020-04-27 02:59:27
111,Cape Town,-33.93,18.42,63.0,82,20,17.22,ZA,2020-04-27 02:55:09
112,Lompoc,34.64,-120.46,60.8,72,1,16.11,US,2020-04-27 02:56:09
113,Tarko-Sale,64.92,77.78,33.01,92,100,10.56,RU,2020-04-27 02:59:28
114,Vermillion,42.78,-96.93,62.6,36,1,14.99,US,2020-04-27 02:55:02
115,Hobart,-42.88,147.33,64.0,55,40,8.05,AU,2020-04-27 02:59:28
116,Ahipara,-35.17,173.17,65.7,74,99,8.68,NZ,2020-04-27 02:59:29
117,Cabo San Lucas,22.89,-109.91,87.8,23,5,10.29,MX,2020-04-27 02:59:29
118,Winnetka,42.11,-87.74,48.2,39,1,3.36,US,2020-04-27 02:59:29
119,Cabedelo,-6.98,-34.83,77.0,100,20,4.7,BR,2020-04-27 02:59:29
120,Gualaquiza,-3.4,-78.55,63.21,63,80,0.78,EC,2020-04-27 02:59:29
121,Lugovoy,42.95,72.76,69.62,43,0,9.17,KZ,2020-04-27 02:59:30
122,Terra Nova,-12.37,-40.67,66.04,84,26,2.8,BR,2020-04-27 02:59:30
123,Benghazi,32.12,20.07,69.78,57,46,13.71,LY,2020-04-27 02:59:30
124,Upernavik,72.79,-56.15,29.19,96,100,3.87,GL,2020-04-27 02:59:31
125,San Cristobal,7.77,-72.22,67.69,57,22,1.88,VE,2020-04-27 02:59:31
126,Umm Lajj,25.02,37.27,69.96,50,0,8.81,SA,2020-04-27 02:59:31
127,Bredasdorp,-34.53,20.04,60.8,77,100,8.05,ZA,2020-04-27 02:59:31
